date,title,push,boo,arrow,net,link
6/26,[標的] 主動式ETF有比較抗跌？,17,3,26,13,https://www.ptt.cc/bbs/Stock/M.1750912706.A.7C7.html
6/26,Re: [新聞] 美債風暴4／他拿房增貸All in債券！　寬限,17,1,34,15,https://www.ptt.cc/bbs/Stock/M.1750912708.A.D63.html
6/26,Re: [標的] 6269 台郡,33,10,17,3,https://www.ptt.cc/bbs/Stock/M.1750912850.A.2F9.html
6/26,Re: [新聞] 台積電注資百億美元以對抗匯率波動,8,1,7,7,https://www.ptt.cc/bbs/Stock/M.1750913252.A.C81.html
6/26,Re: [新聞] 開鍘了！英特爾爆全球大裁員20%　「第一,49,3,72,46,https://www.ptt.cc/bbs/Stock/M.1750913763.A.12E.html
6/26,[請益] 為什麼外資熱錢匯入台股沒有相應的漲幅,46,10,28,36,https://www.ptt.cc/bbs/Stock/M.1750914663.A.258.html
6/26,[新聞] 華碩除息行情失靈 早盤跌24元貼息,58,4,43,54,https://www.ptt.cc/bbs/Stock/M.1750915182.A.112.html
6/26,Re: [新聞] 美債風暴4／他拿房增貸All in債券！　寬限,17,1,17,16,https://www.ptt.cc/bbs/Stock/M.1750916417.A.BF6.html
6/26,[新聞]台電虧4545億負債比破9成　經長盼撥補度難,58,40,51,18,https://www.ptt.cc/bbs/Stock/M.1750917003.A.7C5.html
6/26,Re: [標的] 2834 台企銀 多,7,1,14,6,https://www.ptt.cc/bbs/Stock/M.1750917156.A.FE8.html
6/26,[新聞] 高雄和山光電案 踩雷銀行曝光,41,3,32,38,https://www.ptt.cc/bbs/Stock/M.1750917205.A.1FC.html
6/26,[閒聊] 2025/06/26 盤後閒聊,862,113,512,爆,https://www.ptt.cc/bbs/Stock/M.1750917603.A.182.html
6/26,Re: [新聞] 快報／新台幣升逾1.27角觸29.264元　續刷,42,11,75,31,https://www.ptt.cc/bbs/Stock/M.1750917965.A.502.html
6/26,[新聞] 獨／陽明貨櫃傳撞擊不明物！延遲半月到,29,1,22,28,https://www.ptt.cc/bbs/Stock/M.1750918430.A.2BD.html
6/26,[新聞] 台灣最會賺的前十企業出爐！00938悄悄囊,15,3,3,12,https://www.ptt.cc/bbs/Stock/M.1750919127.A.A7A.html
6/26,[請益] sp500與00646,58,3,82,55,https://www.ptt.cc/bbs/Stock/M.1750872199.A.0BE.html
6/26,[新聞] 輝達股價再創新高 重返全球市值龍頭寶座,29,1,16,28,https://www.ptt.cc/bbs/Stock/M.1750891830.A.9C3.html
6/26,[新聞] 開鍘了！英特爾爆全球大裁員20%　「第一,86,5,50,81,https://www.ptt.cc/bbs/Stock/M.1750894488.A.0B6.html
6/26,[情報] 川普可能宣布新任Fed主席人選,65,3,66,62,https://www.ptt.cc/bbs/Stock/M.1750895985.A.348.html
6/26,[閒聊] 2025/06/26 盤中閒聊,878,116,495,47,https://www.ptt.cc/bbs/Stock/M.1750897803.A.71E.html
6/26,[新聞] 被北約秘書長稱為「爸爸」 川普：他很喜,57,3,16,54,https://www.ptt.cc/bbs/Stock/M.1750898134.A.5B5.html
6/26,[新聞] 中國資產全線爆發，外資機構維持超配建議,8,10,6,,https://www.ptt.cc/bbs/Stock/M.1750898397.A.8E3.html
6/26,[新聞] 小摩預計美國經濟將因關稅出現滯脹式放緩，衰退幾率為40,13,4,8,9,https://www.ptt.cc/bbs/Stock/M.1750898623.A.4AC.html
6/26,[新聞] 新台幣爆量強漲站上29.3元創逾3年新高 登,63,9,32,54,https://www.ptt.cc/bbs/Stock/M.1750900277.A.3E0.html
6/26,Re: [新聞] 看空黃仁勳？謝金河：輝達盛世可能到了轉折,18,3,3,14,https://www.ptt.cc/bbs/Stock/M.1750901046.A.424.html
6/26,[新聞] 獨／央行限空令出新招,37,3,28,34,https://www.ptt.cc/bbs/Stock/M.1750901147.A.5B5.html
6/26,[新聞] 快報／新台幣升逾1.27角觸29.264元　續刷,150,21,84,爆,https://www.ptt.cc/bbs/Stock/M.1750901493.A.430.html
6/26,Re: [請益] 美債解套的方法,5,0,9,5,https://www.ptt.cc/bbs/Stock/M.1750901806.A.2B2.html
6/26,[新聞] 熱錢禿鷹滯留 有炒匯嫌疑…左手買台股,101,24,91,77,https://www.ptt.cc/bbs/Stock/M.1750901979.A.F42.html
6/26,[請益] 統一FANG+(00757)ETF 信託契約修訂通知,10,1,6,9,https://www.ptt.cc/bbs/Stock/M.1750904595.A.8D2.html
6/26,[標的] 3709 鑫聯大投控,11,0,3,11,https://www.ptt.cc/bbs/Stock/M.1750905090.A.2D9.html
6/26,[新聞] 本土OTT第1槍！　愛爾達下半年月租漲近2,42,3,24,39,https://www.ptt.cc/bbs/Stock/M.1750905839.A.DB9.html
6/26,[新聞] 北約峰會與澤倫斯基會談 川普稱考慮供烏,23,19,36,4,https://www.ptt.cc/bbs/Stock/M.1750907310.A.26A.html
6/26,[請益] 00757 00830 美股ETF是否要先跑？,54,6,39,46,https://www.ptt.cc/bbs/Stock/M.1750907663.A.E0C.html
